book_number,Rating
272,0
491,5
226,0
487,3
1356,6
226,0
969,8
360,6
311,7
3455,10
283,0
210,0
995,0
896,0
710,0
274,0
201,9
376,0
566,0
239,9
307,8
183,7
398,0
332,7
263,6
350,0
275,0
458,8
1937,8
196,5
183,10
373,0
220,0
169,5
458,0
192,0
474,0
167,0
101,0
185,0
159,0
1707,0
2568,0
190,0
264,8
128,0
251,0
507,0
194,0
45,3
178,0
185,0
217,0
257,0
515,0
183,4
125,0
2277,4
180,0
183,7
14,0
287,10
2498,10
125,0
241,0
409,0
197,9
128,0
164,0
224,7
2618,7
289,6
161,0
187,0
193,0
1969,0
138,0
129,8
1703,0
1708,6
92,0
108,6
525,0
176,8
81,7
158,10
109,5
178,0
129,5
156,0
147,7
124,0
1350,0
555,0
2303,0
133,0
2207,0
209,6
147,0
39,0
59,0
110,0
1310,0
181,0
153,0
48,7
131,0
144,0
1319,0
202,8
98,0
168,0
251,10
172,10
125,8
2448,0
165,0
126,0
236,8
93,0
370,8
80,6
11,8
151,6
1929,6
241,8
100,0
190,8
275,7
666,9
381,0
123,0
1314,9
122,10
175,9
75,10
189,9
1579,9
155,10
193,0
148,6
255,9
139,8
16,10
180,9
108,10
150,10
169,8
130,10
80,7
121,0
111,0
125,0
1732,0
453,0
65,0
72,0
338,0
92,7
1725,0
470,0
675,0
72,0
103,9
176,0
84,5
196,0
195,10
95,5
185,0
1710,0
1492,0
283,7
134,0
87,5
7,0
1714,8
246,8
184,7
972,10
223,0
119,0
103,8
242,0
119,8
111,9
98,10
115,9
380,8
101,7
90,10
123,0
120,8
1823,10
116,7
162,9
109,6
155,0
119,0
474,7
208,9
91,0
85,7
2380,6
189,0
93,0
109,0
66,8
187,10
132,0
116,10
155,10
1316,10
94,10
112,9
90,7
70,10
96,10
270,10
20,0
74,0
143,8
163,10
97,5
81,0
131,0
134,0
84,0
845,0
1451,0
117,0
213,0
347,0
87,8
95,0
101,0
249,0
79,0
137,7
235,0
81,0
122,1
197,7
136,5
125,5
97,0
250,0
1379,0
104,0
124,0
99,0
92,0
48,0
96,0
147,0
67,0
4,0
279,0
107,0
353,0
59,0
107,0
61,0
343,0
127,0
111,0
90,0
159,0
17,6
306,0
163,6
177,0
105,0
259,0
116,0
169,0
109,7
32,0
95,8
108,8
145,10
153,10
114,9
312,6
122,8
99,0
154,0
117,9
193,0
18,10
74,8
299,9
2573,8
69,6
145,9
162,9
155,9
1248,9
69,6
178,8
1369,0
117,9
113,8
52,10
198,3
61,8
102,0
94,9
96,7
